id,name_short,name,type,sex,year,origin,education
mk,Monika,Monika Kuehn,1,1,NA,NA,1
hs,Helke,Helke Sander,1,1,1937,1,1
cp,Cristina,Cristina Perincioli,1,1,1946,2,1
sf,Sigrid,Sigrid Fronius,1,1,1942,1,1
ms,MonikaS,Monika Schmid,1,1,NA,NA,NA
bf,Berliner Frauenzentrum,Gruendung Berliner Frauenzentrum,2,NA,1973,NA,NA
haw,Homosexuellen Aktion,Gruendung Homosexuellen Aktion Westberlin,2,NA,1972,NA,NA
fkc,Frauenkomune Cosimaplatz,Gruendung Frauenkommune Cosimaplatz,2,NA,1971,NA,NA
bur,Brot und Rosen,Gruendung Frauengruppe Brot und Rosen,1,NA,1971,NA,NA
vb,Verena,Verena Becker,1,1,1952,2,2
ag,Alexandra,Alexandra Goy,1,1,1944,2,1
fwb,Frauenhaus West-Berlin,Gruendung Frauenhaus West-Berlin,2,NA,1976,NA,NA
as,Alice,Alice Schwarzer,1,1,1942,2,1
fk,Frauenkalender,Frauenkalender,2,NA,1975,NA,NA
mlf,Pariser Frauenbewegung,Pariser Frauenbewegung MLF,2,NA,NA,NA,NA
emma,EMMA,EMMA,2,NA,1977,NA,NA
bc,Brigitte,Brigitte Classen,1,1,NA,NA,1
er,Eva,Eva Rieger,1,1,1940,1,1
fh,Frigga,Frigga Haug,1,1,1934,2,1
sfb,Sozialistischer Frauenbund,Sozialistischer Frauenbund Westberlin,2,NA,1970,NA,NA
gn,Gisela,Gisela Necker,1,1,1932,2,2
kk,Kitty,Kaethe Kitty Kuse,1,1,1904,2,2
l74,L 74,Lesbos 74,2,NA,1974,NA,NA
laz,lesbisches Aktionszentrum,Lesbisches Aktionszentrum,2,NA,1974,NA,NA
pl,Petra,Petra Lang,1,1,NA,NA,1
un,Ulla,Ulla Naumann,1,1,NA,NA,1
ek,Evelyn,Evelyn Kuwertz,1,1,1945,1,1
tw,Toja,Antonia Toja Wernery,1,1,NA,NA,NA
ik,Ilse,Ilse Kokula,1,1,1944,1,2
ukz,Unsere Kleine Zeitung,Erste deutsche Lesbenzeitung,2,NA,1975,NA,NA
2j,2. Juni,Bewegung 2. Juni,2,NA,1972,NA,NA
frh,Frauenhandbuch,Herausgabe Frauenhandbuch,2,NA,1972,NA,NA
dffb,Film- und Fernsehakademie,Deutsche Film- und Fernsehakademie Berlin,2,NA,NA,NA,NA
ffg,Kunstausstellung,Ausstellung zur Situation der Frau in Familie und Gesellschaft,2,NA,1973,NA,NA
fgf,Frauen gegen Gewalt gegen Frauen,Initiative Frauen gegen Gewalt gegen Frauen,2,NA,1974,NA,NA
fnwb,Frauennotruf,Frauennotruf West-Berlin,2,NA,1977,NA,NA
aue,Spielfilm anna und Edith,erster Spielfilm zu einer lesbischen Beziehung Anna und Edith,2,NA,1975,NA,NA
cr,Cäcilia,Caecilia Rentmeister,1,1,1948,2,1
ff1k,Für Frauen 1. Kapitel,Film Für Frauen 1. Kapitel,2,NA,1971,NA,NA
eh,Edda,Edda Hertel,1,1,NA,NA,1
ws,Waltraud,Waltraut Siepert,1,1,1938,NA,2
